Symbol,Name,Country,IPOYear,Sector,Industry,MarketCap,MarketCapDate
STNE,StoneCo Ltd. Class A Common Shares,Brazil,2018,Technology,EDP Services,3302837634,2022-06-09
STT,State Street Corporation Common Stock,United States,NULL,Finance,Investment Managers,25518178247,2022-06-09
STX,Seagate Technology Holdings PLC Ordinary Shares (Ireland),Ireland,2002,Technology,Electronic Components,18122088785,2022-06-09
SU,Suncor Energy  Inc. Common Stock,Canada,NULL,NULL,NULL,59596022174,2022-06-09
SWAV,ShockWave Medical Inc. Common Stock,United States,2019,Health Care,Medical/Dental Instruments,6745702597,2022-06-09
SWKS,Skyworks Solutions Inc. Common Stock,United States,NULL,Technology,Semiconductors,17029203500,2022-06-09
SWN,Southwestern Energy Company Common Stock,United States,NULL,Energy,Oil & Gas Production,10492060726,2022-06-09
SYF,Synchrony Financial Common Stock,United States,2014,Finance,Diversified Financial Services,17326438316,2022-06-09
SYK,Stryker Corporation Common Stock,United States,NULL,Health Care,Medical/Dental Instruments,84714077002,2022-06-09
SYY,Sysco Corporation Common Stock,United States,NULL,Consumer Discretionary,Food Distributors,42653315316,2022-06-09
T,AT&T Inc.,United States,NULL,Consumer Discretionary,Telecommunications Equipment,150911720000,2022-06-09
TAL,TAL Education Group American Depositary Shares,China,NULL,Consumer Discretionary,Other Consumer Services,2656909580,2022-06-09
TCOM,Trip.com Group Limited American Depositary Shares,China,2003,Consumer Discretionary,Business Services,14856613828,2022-06-09
TDOC,Teladoc Health Inc. Common Stock,United States,2015,Health Care,Medical/Nursing Services,5467314911,2022-06-09
TEAM,Atlassian Corporation Plc Class A Ordinary Shares,United Kingdom,2015,Technology,Computer Software: Prepackaged Software,50279097854,2022-06-09
TECK,Teck Resources Ltd Ordinary Shares,Canada,NULL,NULL,NULL,23878270000,2022-06-09
TFC,Truist Financial Corporation Common Stock,United States,NULL,Finance,Major Banks,64753314832,2022-06-09
TGT,Target Corporation Common Stock,United States,NULL,Consumer Discretionary,Department/Specialty Retail Stores,72855980411,2022-06-09
TJX,TJX Companies Inc. (The) Common Stock,United States,NULL,Consumer Discretionary,Department/Specialty Retail Stores,71563522788,2022-06-09
TLRY,Tilray Brands Inc. Class 2 Common Stock,Canada,2018,Health Care,Biotechnology: Pharmaceutical Preparations,1635164822,2022-06-09
TMO,Thermo Fisher Scientific Inc Common Stock,United States,NULL,Industrials,Biotechnology: Laboratory Analytical Instruments,215594055903,2022-06-09
TMUS,T-Mobile US Inc. Common Stock,United States,NULL,Telecommunications,Telecommunications Equipment,170111461838,2022-06-09
TOST,Toast Inc. Class A Common Stock,NULL,2021,Technology,EDP Services,8169608279,2022-06-09
TPTX,Turning Point Therapeutics Inc. Common Stock,United States,2019,Health Care,Biotechnology: Pharmaceutical Preparations,3721946723,2022-06-09
TROW,T. Rowe Price Group Inc. Common Stock,United States,1986,Finance,Investment Managers,28075678379,2022-06-09
TS,Tenaris S.A. American Depositary Shares,Luxembourg,NULL,Industrials,Steel/Iron Ore,19186674830,2022-06-09
TSCO,Tractor Supply Company Common Stock,United States,1994,Consumer Discretionary,Other Specialty Stores,22739940891,2022-06-09
TSLA,Tesla Inc. Common Stock,United States,2010,Consumer Discretionary,Auto Manufacturing,765468468806,2022-06-09
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,Taiwan,1997,Technology,Semiconductors,478026923336,2022-06-09
TT,Trane Technologies plc,Ireland,NULL,Industrials,Industrial Machinery/Components,32106693355,2022-06-09
TTD,The Trade Desk Inc. Class A Common Stock,United States,2016,Technology,EDP Services,25624505928,2022-06-09
TTE,TotalEnergies SE,France,NULL,Energy,Oil & Gas Production,154177329816,2022-06-09
TTWO,Take-Two Interactive Software Inc. Common Stock,United States,1997,Technology,Computer Software: Prepackaged Software,21326861532,2022-06-09
TWLO,Twilio Inc. Class A Common Stock,United States,2016,Industrials,Industrial Machinery/Components,18688457344,2022-06-09
TWTR,Twitter Inc. Common Stock,NULL,2013,Technology,EDP Services,30525197582,2022-06-09
TXN,Texas Instruments Incorporated Common Stock,United States,NULL,Technology,Semiconductors,152696143394,2022-06-09
U,Unity Software Inc. Common Stock,United States,2020,Technology,Retail: Computer Software & Peripheral Equipment,12660476138,2022-06-09
UAL,United Airlines Holdings Inc. Common Stock,United States,NULL,Consumer Discretionary,Air Freight/Delivery Services,14252005435,2022-06-09
UBER,Uber Technologies Inc. Common Stock,NULL,2019,Technology,EDP Services,50799890745,2022-06-09
UL,Unilever PLC Common Stock,United Kingdom,NULL,Consumer Staples,Farming/Seeds/Milling,116319263429,2022-06-09
ULTA,Ulta Beauty Inc. Common Stock,United States,2007,NULL,NULL,21983298441,2022-06-09
UNH,UnitedHealth Group Incorporated Common Stock (DE),United States,NULL,Health Care,Medical Specialities,464146328010,2022-06-09
UNP,Union Pacific Corporation Common Stock,United States,NULL,Industrials,Railroads,139069890545,2022-06-09
UPS,United Parcel Service Inc. Common Stock,United States,1999,Consumer Discretionary,Air Freight/Delivery Services,157749776468,2022-06-09
UPST,Upstart Holdings Inc. Common stock,United States,2020,Finance,Finance: Consumer Services,3330759616,2022-06-09
URI,United Rentals Inc. Common Stock,United States,1997,Consumer Discretionary,Diversified Commercial Services,21734809097,2022-06-09
USB,U.S. Bancorp Common Stock,United States,NULL,Finance,Major Banks,76047609168,2022-06-09
V,Visa Inc.,United States,NULL,Consumer Discretionary,Business Services,445787034553,2022-06-09
VALE,VALE S.A.  American Depositary Shares Each Representing one common share,Brazil,NULL,Basic Materials,Metal Mining,82285624377,2022-06-09
VEEV,Veeva Systems Inc. Class A Common Stock,NULL,2013,Health Care,Managed Health Care,29493709042,2022-06-09
VERU,Veru Inc. Common Stock,United States,NULL,Health Care,Biotechnology: Pharmaceutical Preparations,1104144022,2022-06-09
VICI,VICI Properties Inc. Common Stock,NULL,2018,Real Estate,Real Estate Investment Trusts,30011960852,2022-06-09
VLO,Valero Energy Corporation Common Stock,United States,NULL,Energy,Integrated oil Companies,59031146574,2022-06-09
VMW,Vmware Inc. Common stock Class A,United States,2007,Technology,Computer Software: Prepackaged Software,54518174616,2022-06-09
VOD,Vodafone Group Plc American Depositary Shares,United Kingdom,NULL,Telecommunications,Telecommunications Equipment,44535329160,2022-06-09
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,United States,1991,Health Care,Biotechnology: Pharmaceutical Preparations,67566888557,2022-06-09
VZ,Verizon Communications Inc. Common Stock,United States,NULL,Telecommunications,Telecommunications Equipment,216785607846,2022-06-09
W,Wayfair Inc. Class A Common Stock,United States,2014,Consumer Discretionary,Catalog/Specialty Distribution,5831731283,2022-06-09
WBA,Walgreens Boots Alliance Inc. Common Stock,United States,NULL,Consumer Staples,Retail-Drug Stores and Proprietary Stores,36727647689,2022-06-09
WBD,Warner Bros. Discovery Inc. Series A Common Stock,United States,NULL,Telecommunications,Cable & Other Pay Television Services,38962744238,2022-06-09
WDAY,Workday Inc. Class A Common Stock,United States,NULL,Technology,Computer Software: Prepackaged Software,39898320000,2022-06-09
WDC,Western Digital Corporation Common Stock,United States,NULL,Technology,Electronic Components,18110494915,2022-06-09
WEC,WEC Energy Group Inc. Common Stock,United States,NULL,Utilities,Power Generation,32114389601,2022-06-09
WFC,Wells Fargo & Company Common Stock,United States,NULL,Finance,Major Banks,166472270513,2022-06-09
WM,Waste Management Inc. Common Stock,United States,NULL,Utilities,Environmental Services,64622821371,2022-06-09
WMB,Williams Companies Inc. (The) Common Stock,United States,NULL,Utilities,Natural Gas Distribution,43738796592,2022-06-09
WMT,Walmart Inc. Common Stock,United States,NULL,Consumer Discretionary,Department/Specialty Retail Stores,335892577792,2022-06-09
WSM,Williams-Sonoma Inc. Common Stock (DE),United States,NULL,Consumer Discretionary,Other Specialty Stores,8807854848,2022-06-09
WWE,World Wrestling Entertainment Inc. Class A Common Stock,United States,NULL,Consumer Discretionary,Movies/Entertainment,5007146391,2022-06-09
WYNN,Wynn Resorts Limited Common stock,United States,2002,Consumer Discretionary,Hotels/Resorts,7725584969,2022-06-09
X,United States Steel Corporation Common Stock,United States,NULL,Industrials,Steel/Iron Ore,6042821571,2022-06-09
XEL,Xcel Energy Inc. Common Stock,United States,NULL,Utilities,Power Generation,39721564002,2022-06-09
XOM,Exxon Mobil Corporation Common Stock,United States,NULL,Energy,Oil & Gas Production,439079160013,2022-06-09
XPEV,XPeng Inc. American depositary shares each representing two Class A ordinary shares,China,2020,Consumer Discretionary,Auto Manufacturing,22150676619,2022-06-09
Y,Alleghany Corporation Common Stock,United States,NULL,Finance,Property-Casualty Insurers,11228911329,2022-06-09
YMM,Full Truck Alliance Co. Ltd. American Depositary Shares (each representing 20 Class A Ordinary Shares),NULL,2021,NULL,NULL,9066717873,2022-06-09
YUMC,Yum China Holdings Inc. Common Stock,United States,2016,Consumer Discretionary,Restaurants,18157327147,2022-06-09
Z,Zillow Group Inc. Class C Capital Stock,United States,NULL,Consumer Discretionary,Business Services,9187220039,2022-06-09
ZBRA,Zebra Technologies Corporation Class A Common Stock,United States,1991,Technology,Computer peripheral equipment,16869541785,2022-06-09
ZEN,Zendesk Inc. Common Stock,NULL,2014,Technology,EDP Services,8820668965,2022-06-09
ZI,ZoomInfo Technologies Inc Common Stock,United States,2020,Technology,Computer Software: Prepackaged Software,15240176093,2022-06-09
ZIM,ZIM Integrated Shipping Services Ltd. Ordinary Shares,NULL,2021,Consumer Discretionary,Marine Transportation,6326004326,2022-06-09
ZM,Zoom Video Communications Inc. Class A Common Stock,United States,2019,Technology,Computer Software: Prepackaged Software,33337760197,2022-06-09
ZS,Zscaler Inc. Common Stock,United States,2018,Technology,EDP Services,23073095849,2022-06-09
ZTS,Zoetis Inc. Class A Common Stock,United States,2013,Health Care,Biotechnology: Pharmaceutical Preparations,80053934216,2022-06-09
^SP500-15,NULL,NULL,NULL,Basic Materials,NULL,NULL,NULL
^SP500-25,NULL,NULL,NULL,Consumer Discretionary,NULL,NULL,NULL
^SP500-30,NULL,NULL,NULL,Consumer Staples,NULL,NULL,NULL
SPY,S&P 500 ETF,NULL,NULL,NULL,NULL,NULL,NULL
^SP500-40,NULL,NULL,NULL,Finance,NULL,NULL,NULL
^SP500-35,NULL,NULL,NULL,Health Care,NULL,NULL,NULL
^SP500-20,NULL,NULL,NULL,Industrials,NULL,NULL,NULL
^SP500-60,NULL,NULL,NULL,Real Estate,NULL,NULL,NULL
^SP500-45,NULL,NULL,NULL,Technology,NULL,NULL,NULL
^SP500-50,NULL,NULL,NULL,Telecommunications,NULL,NULL,NULL
^SP500-55,NULL,NULL,NULL,Utilities,NULL,NULL,NULL
